make,year,newprice,kmperliter,km,horsepower,gearbox,fueltype,doornumber,price
BMW,2012,516054,14,141021,109,0,1,5,423699.2778
Honda,2001,410950,24,125962,85,1,0,5,390126.124
Honda,2010,604368,21,91346,89,1,0,3,540155.346
Alfa Romeo,2010,561268,21,171316,74,1,1,3,504420.912
Chevrolet,2009,358741,30,45102,88,0,0,5,347760.175
Kia,2014,573815,24,197006,104,1,1,5,504012.1108
Fiat,2006,543134,30,163594,102,1,0,3,481123.5554
Mercedes-Benz,2016,503247,28,189236,63,0,0,5,380377.4636
Jaguar,2008,606814,22,182037,76,0,0,3,493313.8517
Dodge,2006,463817,16,65874,86,0,1,5,443029.1788
Dodge,2010,424095,18,138263,55,0,0,5,381430.4953
Alfa Romeo,2012,353192,13,86769,73,1,1,5,305323.2573
Mercedes-Benz,2004,597088,23,59098,101,1,1,3,604833.567
Chevrolet,2012,373260,30,54782,78,0,0,3,324456.3968
Fiat,2015,457755,21,90790,72,1,0,3,409745.793
Jaguar,2002,465938,29,195523,113,1,1,3,415691.967
Kia,2020,595545,13,37697,53,1,0,5,538621.6804
Honda,2021,362055,16,88931,89,1,0,5,254991.1676
Kia,2007,497466,25,30292,92,0,0,5,480918.6248
Dodge,2014,637169,15,180119,53,1,0,5,580900.3349
Alfa Romeo,2005,591276,23,145404,57,1,0,5,562373.4983999999
Jaguar,2016,464230,15,98389,91,1,0,5,375884.0541
Dodge,2010,646918,27,71409,73,1,1,3,633074.6934
BMW,2012,601327,14,157659,73,1,1,3,550803.8116
Chevrolet,2017,666245,25,167023,106,0,0,3,575687.9176
Honda,2009,342542,14,43999,114,0,1,3,301094.9836
Kia,2001,498815,22,112370,94,0,0,5,465150.227
Fiat,2000,350891,16,104935,104,1,0,3,331739.2605
Jaguar,2018,657271,12,34541,116,1,1,5,588448.1057
Honda,2015,365926,13,138654,100,0,1,3,286934.6352
BMW,2017,554345,30,13387,103,0,0,3,527416.8589
Jaguar,2018,420845,23,181006,101,0,0,3,331820.7538
Dodge,2006,385149,19,59907,65,1,1,5,366233.6494
Honda,2014,336526,23,30061,74,1,0,3,312672.9221
Jaguar,2015,350501,30,27579,77,0,0,5,302236.7573
Alfa Romeo,2015,343971,23,42284,50,1,0,3,322530.0008
Chevrolet,2018,389122,17,53468,91,1,1,5,318371.254
Mazda,2017,543830,25,109887,68,0,1,5,475048.0588
Dodge,2008,553149,17,167234,78,1,1,3,472782.872
Kia,2006,350002,21,173347,101,0,1,3,284399.0297
Chevrolet,2017,538403,28,132723,55,1,1,3,453651.5088
Honda,2017,391639,16,22070,50,0,0,3,317496.849
Fiat,2005,615661,10,7470,72,1,1,5,619081.17
Mercedes-Benz,2008,322061,19,99235,64,0,1,3,274264.2105
Kia,2008,649328,18,19962,88,0,1,3,620039.6998
Kia,2021,383514,17,90613,79,0,1,5,259048.1493
Alfa Romeo,2005,669334,14,33012,105,0,1,5,664726.9664
Jaguar,2006,610455,28,33441,89,0,1,5,598406.5505
Jaguar,2002,530930,29,196359,81,0,0,3,485380.7977
Jaguar,2011,646542,21,136564,114,1,0,3,589276.7708
BMW,2007,599360,29,86954,76,1,1,5,591733.219
Kia,2020,307163,22,116257,93,1,1,5,196985.2681
Mazda,2011,592320,15,121658,82,1,0,5,558290.485
Mazda,2018,452488,28,107337,117,0,0,5,371513.3077
Jaguar,2005,675140,12,96394,105,1,1,3,643927.2774
Mercedes-Benz,2003,318340,22,182954,86,1,1,5,289834.91359999997
Chevrolet,2005,445529,22,188455,104,0,0,5,380576.616
Mazda,2012,637857,19,194119,109,0,0,5,504005.3629
Jaguar,2005,510088,22,171488,70,1,0,5,445533.83999999997
Mercedes-Benz,2020,651895,26,10557,95,1,0,5,623698.0894
Mercedes-Benz,2002,419998,21,12751,113,1,1,3,460159.1597
Jaguar,2005,599703,17,188636,83,1,1,5,574754.3964
Dodge,2005,360772,23,26089,85,1,1,3,372730.3743
Kia,2015,527548,24,164968,98,0,1,5,431750.7696
Fiat,2021,639818,30,79532,81,1,1,3,558312.9352
Alfa Romeo,2016,611972,30,27198,55,1,0,5,598231.5834
BMW,2007,546408,10,66319,108,0,1,5,512373.1881
Jaguar,2020,352828,17,18097,69,1,0,3,292507.5831
Honda,2008,309013,26,158422,94,1,1,3,268077.1998
Honda,2016,660757,19,187250,79,1,0,5,589254.75
Mazda,2017,508443,11,115513,92,1,1,3,420767.7802
Honda,2005,471296,21,99745,61,1,0,3,443871.439
Honda,2012,491987,21,6473,102,0,0,3,477034.0863
Alfa Romeo,2000,482530,23,18884,108,1,1,3,519839.752
BMW,2011,328598,30,170678,111,1,1,3,254050.6844
Mercedes-Benz,2019,695474,21,84588,63,0,1,3,654595.8808
Kia,2015,465208,12,91619,82,0,0,5,406376.0267
Kia,2008,353917,17,22236,80,1,0,3,344469.6224
Chevrolet,2018,598737,20,58066,89,0,1,3,537220.871
Mazda,2002,480645,24,143820,97,1,0,3,442727.708
Jaguar,2005,458413,12,130,88,0,0,5,454301.551
Kia,2014,604718,10,110231,78,0,1,3,517496.3267
Mercedes-Benz,2016,565460,30,167210,62,1,1,5,486606.103
Kia,2020,607622,19,198645,118,1,1,3,489968.42350000003
Chevrolet,2006,302317,13,18923,99,1,1,3,300930.4638
BMW,2016,483364,17,27937,100,0,1,3,437696.1608
Honda,2003,549307,29,32779,69,1,1,3,563023.5622
Mazda,2011,568917,21,60563,59,0,0,3,530264.7568
Jaguar,2012,554270,27,99795,100,1,1,3,517236.4295
Dodge,2018,446545,30,129967,60,0,0,3,370486.253
Dodge,2020,304613,30,146380,54,0,0,3,189988.70799999998
Honda,2016,439434,30,24560,70,1,1,3,399757.64
BMW,2005,531612,11,171901,104,1,1,5,460263.2372
Kia,2014,650266,23,140868,50,1,0,5,582166.7272
Alfa Romeo,2005,301595,28,188905,97,0,1,3,225738.5035
Dodge,2010,555633,15,199112,75,0,0,3,451503.9248
Alfa Romeo,2003,505229,14,11689,53,1,0,3,524971.5973
Mazda,2004,693817,12,185898,70,0,1,3,617513.3388
Fiat,2005,500058,13,66175,105,1,1,5,490202.0525
Alfa Romeo,2017,455891,30,92754,86,0,1,5,376280.5362
BMW,2004,659000,29,142563,86,0,0,3,597434.985
Mazda,2020,301952,24,150882,60,1,1,5,187404.3108
Alfa Romeo,2003,494480,29,183415,82,0,1,3,441187.0105
Chevrolet,2021,545075,18,72192,61,0,0,3,435474.7712
Mazda,2006,521135,18,119074,92,0,0,5,486438.8716
Kia,2006,688834,10,103313,82,0,0,5,658940.3047
Mercedes-Benz,2014,537298,28,93679,109,0,0,5,489055.559
Chevrolet,2009,641983,19,7909,51,1,1,5,647641.3274
BMW,2004,450332,10,49790,101,1,0,5,444692.689
Dodge,2008,530706,23,5465,95,0,1,5,523124.22
Honda,2014,501717,26,166140,100,1,1,3,435343.128
Mercedes-Benz,2007,304399,27,114239,79,0,1,5,263350.8542
Mercedes-Benz,2017,409604,17,49485,108,0,1,5,357432.797
Mercedes-Benz,2000,479291,15,38888,70,0,1,5,488726.3192
Kia,2016,444511,21,197984,93,1,0,3,333251.3152
Alfa Romeo,2007,546593,22,84766,106,1,1,3,533046.0432
Alfa Romeo,2012,516276,22,199725,54,0,0,3,450853.6225
Fiat,2016,320978,22,16794,105,0,1,5,251958.0382
Alfa Romeo,2020,517360,27,84675,54,1,1,5,450048.38
Alfa Romeo,2010,500584,28,110201,54,1,1,5,448786.4494
BMW,2011,404954,25,77717,53,0,1,3,372033.7441
BMW,2006,365243,14,108875,116,1,1,3,332188.1625
Chevrolet,2015,499792,14,93254,97,1,1,3,457879.1066
BMW,2012,433815,28,126248,54,0,0,5,346877.6688
Dodge,2007,323410,26,83962,62,1,1,5,316082.5964
Mercedes-Benz,2020,667370,27,168531,115,0,0,3,571335.7901
Fiat,2009,408734,20,130137,57,1,0,3,368306.6269
Fiat,2009,328887,23,102658,52,1,0,3,294043.9648
Dodge,2012,478388,15,94906,72,0,0,3,391804.7522
Dodge,2016,496853,26,89231,101,0,0,5,406065.3056
Fiat,2011,340389,27,182562,114,0,1,5,250410.175
Chevrolet,2014,573903,13,129578,109,1,1,5,487235.4354
Mercedes-Benz,2018,581654,14,188774,112,0,0,3,484653.7156
Chevrolet,2021,582244,13,21006,62,0,0,5,529880.8876
Mazda,2003,452573,26,109292,92,0,1,5,428308.3024
Dodge,2006,469707,30,94948,86,0,0,5,429809.7648
Dodge,2010,395159,21,71103,73,1,0,5,355236.4164
Mercedes-Benz,2018,463785,22,72431,109,0,0,3,422021.672
Chevrolet,2013,397993,26,66434,69,0,1,3,323521.6586
Honda,2019,392046,26,148770,71,0,1,3,265749.147
Jaguar,2014,533895,15,142492,115,1,0,3,455649.132
Dodge,2012,546956,23,186038,65,0,1,5,446396.5798
BMW,2010,647762,21,176835,77,0,1,3,581452.7815
Honda,2016,408669,10,95044,50,0,0,5,312132.1352
Alfa Romeo,2003,528173,11,131217,58,1,0,3,512072.3746
Chevrolet,2012,686038,27,133872,70,0,1,3,592067.8
Honda,2011,527743,28,169866,52,0,0,5,449617.5014
Kia,2019,386120,19,170914,91,1,1,3,286406.2154
Honda,2009,698994,23,106116,106,0,0,5,649913.0276
Mazda,2021,482523,14,143699,67,1,1,5,387620.0052
Mercedes-Benz,2004,658212,28,114378,91,1,0,5,634798.1994
Honda,2007,352526,19,186788,99,0,0,5,277966.9644
Dodge,2018,488869,27,8894,115,0,0,5,439673.612
Kia,2019,344619,30,17128,118,0,0,3,268762.49919999996
Fiat,2012,470995,29,108857,74,1,0,3,430207.2449
BMW,2012,409820,11,55234,87,1,0,3,367090.4498
Honda,2004,395890,17,168638,65,0,1,5,323028.0614
