,Make,Brændstoftype,Gearkasse,Model,Kilometer,Årgang,Hestekræfter,Antal døre,Antal gear,Km/l,0 - 100 km/t,Tophastighed,Vægt,Grøn Ejerafgift,Nypris,Pris
16565,Skoda,Benzin,Manuel,Octavia,318000,2001,102,5,5,13.8,12.3,190.0,1.25,3.74,179998.0,4900
2944,Ford,Benzin,Manuel,Focus,238000,2001,100,5,5,14.71,11.2,185.0,1.2,3.14,204996.0,3000
3011,Toyota,Benzin,Manuel,Yaris,266000,2001,86,5,5,15.4,12.7,165.0,965.0,2.52,167998.0,14900
15943,Peugeot,Benzin,Manuel,206,296000,2001,135,3,5,13.0,8.4,210.0,1.025,4.36,189990.0,19800
2609,Rover,Benzin,Manuel,75,200000,2001,177,4,5,10.2,9.5,215.0,1.425,6.82,460000.0,36900
1543,Seat,Benzin,Manuel,Cordoba,153000,2001,60,5,5,14.6,16.3,155.0,1.025,3.14,152805.0,19900
6534,Audi,Diesel,Manuel,A4,266000,2001,130,4,5,18.1,9.9,207.0,1.37,6.54,415300.0,29900
6756,BMW,Benzin,Manuel,320Ci,262000,2001,170,2,5,10.6,8.8,222.0,1.495,6.2,650000.0,99500
2457,Audi,Benzin,Manuel,A6,314000,2001,170,4,5,10.1,9.3,224.0,1.48,6.82,484499.0,12900
2153,Renault,Benzin,Manuel,Clio,169000,2001,60,3,5,16.1,15.0,160.0,900.0,2.52,119998.0,7800
5739,Skoda,Benzin,Manuel,Fabia,273000,2001,101,5,5,14.1,11.6,186.0,1.1,3.74,173997.0,11500
17510,Audi,Benzin,Manuel,TT,210000,2001,180,2,5,12.3,7.8,228.0,1.28,4.96,628923.0,79700
14027,Volvo,Diesel,Manuel,S60,353000,2001,163,4,5,16.7,9.5,210.0,1.504,7.38,474995.0,21500
582,Seat,Benzin,Manuel,Leon,208000,2002,105,5,5,14.3,10.9,192.0,1.2,3.14,191994.0,9900
16269,Opel,Benzin,Manuel,Corsa,110000,2002,75,3,5,15.9,13.0,170.0,925.0,2.52,143000.0,17900
16325,Suzuki,Benzin,Manuel,Liana,189000,2002,107,4,5,14.5,11.7,170.0,1.1,3.14,157418.0,10000
14491,Hyundai,Benzin,Manuel,Matrix,245000,2002,103,5,5,13.7,12.7,170.0,1.223,3.74,169994.0,8800
14158,Toyota,Diesel,Manuel,RAV4,299000,2002,116,5,5,11.6,13.0,170.0,1.375,6.35,210503.0,15000
14026,Renault,Benzin,Manuel,Laguna,259000,2002,123,5,5,13.3,10.7,203.0,1.3,3.74,285999.0,14900
10720,Audi,Diesel,Manuel,A4,313000,2002,130,5,6,17.5,10.2,206.0,1.46,6.54,449999.0,24900
1003,Fiat,Benzin,Manuel,Punto,230000,2002,60,5,5,17.5,14.3,155.0,850.0,1.88,139000.0,7500
11128,Toyota,Benzin,Manuel,Corolla,150000,2002,97,3,5,14.93,12.0,185.0,1.125,3.14,199197.0,19900
13977,Peugeot,Benzin,Manuel,406,262000,2002,136,5,5,11.9,11.04,201.0,1.4,4.96,261990.0,9500
564,Peugeot,Benzin,Automatisk,307,105000,2002,138,5,4,12.05,10.1,200.0,1.25,4.96,302106.0,24900
11588,Skoda,Benzin,Manuel,Octavia,186000,2002,102,5,5,13.9,12.3,190.0,1.25,3.74,179999.0,14900
15500,Ford,Benzin,Automatisk,Mondeo,296000,2002,145,5,5,10.75,11.8,190.0,1.4,6.2,312000.0,19900
14255,Volvo,Benzin,Manuel,V70,323000,2002,140,5,5,11.0,10.5,205.0,1.47,6.2,405902.0,24900
14298,Toyota,Benzin,Manuel,RAV4,356000,2002,125,5,5,13.5,12.2,175.0,1.175,3.74,322427.0,29900
1329,Audi,Diesel,Automatisk,A2,360000,2002,61,5,5,33.3,14.8,168.0,825.0,1.26,266999.0,34990
17870,Nissan,Benzin,Manuel,Primera,276000,2002,116,5,5,13.5,12.3,188.0,1.325,3.74,301995.0,17400
11916,Saab,Benzin,Automatisk,9-5,300000,2002,200,5,5,8.5,9.4,230.0,1.625,9.3,689499.0,19400
18080,Toyota,Diesel,Manuel,CombiVan,526000,2002,90,5,5,16.1,13.5,170.0,1.375,6.35,170057.0,6899
12016,Toyota,Diesel,Manuel,RAV4,291000,2002,116,5,5,14.1,13.0,170.0,1.375,6.35,210503.0,21900
13832,Peugeot,Benzin,Manuel,406,390000,2002,136,5,5,11.9,11.04,201.0,1.4,4.96,261990.0,5500
14369,VW,Benzin,Manuel,Golf,263000,2002,115,5,5,12.5,10.5,196.0,1.075,4.36,275396.0,24900
1084,Skoda,Benzin,Manuel,Fabia,193000,2002,101,5,5,14.1,11.5,185.0,1.05,3.74,165999.0,10500
822,Volvo,Benzin,Manuel,V40,381000,2002,122,5,5,12.8,10.5,200.0,1.25,4.36,311495.0,19990
1138,VW,Diesel,Automatisk,Lupo,0,2002,61,3,5,33.3,13.9,165.0,825.0,1.26,180598.0,12900
835,Volvo,Benzin,Manuel,V40,350000,2002,122,5,5,12.8,10.5,200.0,1.25,4.36,311495.0,16990
17372,Toyota,Diesel,Manuel,Sportsvan,365000,2002,116,5,5,10.8,12.5,180.0,1.525,6.35,199560.0,7900
12154,Audi,Benzin,Manuel,A4,245000,2002,220,2,6,10.3,7.8,243.0,1.58,6.82,642570.0,79800
10612,VW,Benzin,Automatisk,Passat,330000,2002,193,5,4,8.9,10.0,227.0,1.6,9.3,559599.0,14800
6733,Kia,Diesel,Manuel,Carnival,162000,2002,144,5,5,12.2,15.2,168.0,1.975,11.64,399998.0,24999
1939,VW,Benzin,Manuel,Golf,251000,2002,115,5,5,12.5,10.5,196.0,1.075,4.36,255399.0,19900
8237,Ford,Benzin,Manuel,Fiesta,165000,2002,60,5,5,15.15,15.3,153.0,804.0,3.14,127912.0,16999
1986,Audi,Benzin,Manuel,A4,386000,2002,163,5,5,12.1,9.1,219.0,1.425,4.96,403497.0,29000
19120,VW,Diesel,Automatisk,Lupo,373000,2002,61,3,5,33.3,13.9,165.0,825.0,1.26,180598.0,22500
7726,Audi,Diesel,Automatisk,A2,432000,2002,61,5,5,33.3,14.8,168.0,825.0,1.26,266999.0,39900
2075,Opel,Benzin,Automatisk,Astra,160000,2002,85,3,4,12.3,14.5,180.0,1.075,4.96,219398.0,22900
7126,Mitsubishi,Benzin,Automatisk,Space,282000,2002,98,5,4,12.2,14.5,171.0,1.19,4.96,214996.0,4900
7119,Peugeot,Benzin,Automatisk,406,213000,2002,136,5,4,11.5,11.9,194.0,1.4,5.58,286990.0,19900
6890,Toyota,Benzin,Manuel,Avensis,199000,2002,129,4,5,13.5,10.0,200.0,1.175,3.74,237997.0,24500
2255,Mitsubishi,Benzin,Manuel,Space,164000,2002,98,5,5,13.9,12.0,180.0,1.14,3.74,189995.0,14800
6250,Citroën,Benzin,Manuel,Berlingo,339000,2002,109,5,5,13.5,12.7,172.0,1.225,4.68,187995.0,5000
5837,Audi,Benzin,Manuel,A4,105000,2002,170,2,5,10.31,9.7,224.0,1.575,6.82,529995.0,146800
8533,Opel,Benzin,Manuel,Vectra,226000,2002,125,4,5,13.2,10.5,208.0,1.25,4.36,283499.0,6900
2532,Peugeot,Benzin,Manuel,206,166000,2002,110,2,5,14.3,11.2,193.0,1.125,3.14,229990.0,24990
2561,VW,Diesel,Automatisk,Lupo,284000,2002,61,3,5,33.3,13.9,165.0,825.0,1.26,180598.0,16799
5455,Volvo,Benzin,Manuel,S40,132000,2002,136,4,5,12.3,9.7,205.0,1.25,4.96,319195.0,29900
5270,BMW,Benzin,Automatisk,325i,270000,2002,192,4,5,10.5,8.3,237.0,1.4,6.2,513500.0,39900
5105,Volvo,Benzin,Automatisk,V70,281000,2002,140,5,5,10.8,11.4,200.0,1.475,6.2,475602.0,39900
4977,Audi,Benzin,Manuel,A4,324000,2002,150,5,5,12.2,9.1,219.0,1.405,4.96,425499.0,17000
4833,Hyundai,Benzin,Manuel,Matrix,152000,2002,103,5,5,12.5,12.7,170.0,1.223,4.36,169994.0,6899
4697,Hyundai,Benzin,Manuel,Coupé,89000,2002,138,3,5,11.9,9.2,206.0,1.25,4.96,299997.0,69800
2896,Seat,Diesel,Manuel,Leon,401000,2002,110,5,5,20.0,10.7,193.0,1.225,5.68,248996.0,14800
19861,Mazda,Benzin,Manuel,6,78000,2002,141,5,5,11.8,9.9,206.0,1.3,4.96,281989.0,29900
3180,Citroën,Benzin,Manuel,Berlingo,239000,2002,109,5,5,13.5,12.7,172.0,1.225,3.74,194990.0,9900
3116,Volvo,Diesel,Automatisk,V70,555000,2002,163,5,5,12.7,10.2,210.0,1.575,10.82,576695.0,7900
3064,Toyota,Benzin,Manuel,Avensis,213000,2002,129,5,5,13.5,10.4,200.0,1.2,3.74,278865.0,20000
5518,Peugeot,Benzin,Manuel,206,196000,2002,110,2,5,14.3,11.2,193.0,1.125,3.14,229990.0,26990
8601,Skoda,Benzin,Manuel,Fabia,281000,2002,68,5,5,14.08,15.8,164.0,1.1,3.74,155995.0,9800
9982,Audi,Benzin,Automatisk,A4,262000,2002,170,2,2,10.4,9.7,224.0,1.6,6.82,572597.0,79900
9591,Seat,Benzin,Manuel,Cordoba,141000,2002,75,5,5,15.4,13.2,167.0,1.025,2.52,159844.0,11900
18414,Citroën,Benzin,Manuel,Xsara,254000,2002,95,5,5,13.3,15.0,171.0,1.225,3.74,209995.0,5000
16836,Toyota,Diesel,Manuel,RAV4,309000,2002,116,5,5,14.1,13.0,170.0,1.375,6.35,210503.0,24500
18351,Nissan,Benzin,Manuel,Primera,302000,2002,116,5,5,13.5,12.3,188.0,1.325,3.74,312090.0,12900
10048,Opel,Benzin,Manuel,Corsa,47000,2002,75,3,5,15.9,13.0,170.0,925.0,2.52,160500.0,19800
10182,Fiat,Benzin,Manuel,Punto,132000,2002,60,3,5,17.5,14.3,155.0,835.0,1.88,119998.0,9700
8782,Citroën,Benzin,Manuel,Xsara,365000,2002,116,5,5,13.0,12.2,190.0,1.225,4.36,259999.0,8800
8785,Citroën,Diesel,Manuel,C5,355000,2002,109,5,5,17.5,13.3,187.0,1.425,6.54,312990.0,6800
9129,Mazda,Benzin,Manuel,MX-5,141000,2002,110,2,5,12.3,9.7,191.0,1.025,4.96,289898.0,120000
1562,Suzuki,Benzin,Manuel,Liana,177000,2002,90,5,5,14.9,13.3,165.0,1.125,3.14,161992.0,9800
15635,Mercedes,Benzin,Automatisk,CLK500,277000,2003,306,2,5,8.6,6.2,250.0,1.675,9.3,1388000.0,200000
15576,Peugeot,Benzin,Manuel,206,236000,2003,135,5,5,12.7,9.3,208.0,1.092,4.36,242990.0,17900
4436,Honda,Benzin,Manuel,Civic,137000,2003,110,4,5,15.4,10.1,195.0,1.075,2.52,234848.0,23800
4691,Volvo,Diesel,Manuel,V70,368000,2003,163,5,5,14.9,9.8,210.0,1.55,9.1,563095.0,24000
15226,Skoda,Benzin,Manuel,Octavia,427000,2003,115,5,5,12.5,10.9,198.0,1.3,4.36,239998.0,3000
12972,Porsche,Benzin,Manuel,911,79000,2003,381,2,6,9.9,4.5,306.0,1.38,8.02,2243635.0,4400
15049,Suzuki,Benzin,Manuel,Swift,29000,2003,85,3,5,17.9,13.0,165.0,775.0,1.88,121991.0,29900
15823,Hyundai,Benzin,Manuel,Matrix,156000,2003,103,5,5,12.5,12.7,170.0,1.223,4.36,174999.0,5900
11514,Fiat,Benzin,Manuel,Panda,144000,2003,60,5,5,20.8,14.0,155.0,835.0,660.0,119998.0,37900
5026,Peugeot,Benzin,Manuel,307,289000,2003,138,5,5,12.0,9.8,200.0,1.33,4.96,257990.0,9900
14561,Peugeot,Benzin,Manuel,307,102000,2003,138,5,5,12.7,9.8,205.0,1.225,4.36,275990.0,29900
14555,Peugeot,Benzin,Manuel,307,102000,2003,138,5,5,12.7,9.8,205.0,1.225,4.36,275990.0,679
10611,Mitsubishi,Benzin,Manuel,Lancer,380000,2003,136,5,5,11.5,10.0,200.0,1.295,5.58,259999.0,8500
781,Nissan,Benzin,Manuel,Almera,216000,2003,98,4,5,14.9,13.1,177.0,1.175,3.14,194996.0,12500
4107,VW,Diesel,Manuel,Passat,426000,2003,100,4,5,18.4,12.4,191.0,1.375,6.54,337495.0,8500
599,Opel,Benzin,Manuel,Vectra,176000,2003,122,4,5,13.0,11.2,203.0,1.275,4.36,304298.0,19900
2978,Ford,Benzin,Manuel,Fiesta,338000,2003,70,3,5,16.1,17.3,161.0,1.025,2.52,156500.0,14500
1526,Citroën,Benzin,Manuel,C3,231000,2003,75,5,5,16.1,13.6,168.0,1.0,2.52,153990.0,6500
16680,Honda,Benzin,Manuel,Accord,288000,2003,155,4,5,13.0,9.2,217.0,1.3,4.36,319947.0,19900
11070,Toyota,Benzin,Manuel,Corolla,263000,2003,110,5,5,14.3,10.2,190.0,1.125,3.14,219409.0,19900
3127,Honda,Benzin,Manuel,CR-V,376000,2003,150,5,5,11.0,10.8,177.0,1.475,6.2,339848.0,22900
16561,VW,Diesel,Manuel,Passat,401000,2003,100,4,5,18.4,12.4,191.0,1.375,6.54,337495.0,16800
11072,Peugeot,Benzin,Manuel,307,211000,2003,138,5,5,12.7,9.8,205.0,1.225,4.36,243991.0,10000
1561,Hyundai,Benzin,Manuel,Getz,180000,2003,82,5,5,16.1,11.5,164.0,976.0,2.52,134997.0,8500
16510,VW,Benzin,Manuel,New,182000,2003,75,2,5,14.1,15.6,161.0,1.238,4.24,382994.0,109400
3256,Suzuki,Benzin,Manuel,Wagon,268000,2003,76,5,5,15.6,12.8,155.0,925.0,2.52,129993.0,23995
3320,Citroën,Benzin,Manuel,Xsara,210000,2003,110,5,5,14.5,9.9,196.0,1.175,3.14,198994.0,8500
3443,Citroën,Benzin,Manuel,Berlingo,235000,2003,75,5,5,13.3,17.5,150.0,1.2,3.74,172988.0,22900
16132,Toyota,Diesel,Manuel,Corolla,379000,2003,90,5,5,17.54,12.6,180.0,1.27,6.54,321379.0,12500
3936,VW,Benzin,Manuel,Golf,154000,2003,241,3,6,9.5,6.6,247.0,1.495,8.02,534994.0,214900
4017,Fiat,Benzin,Manuel,Panda,198000,2003,60,5,5,17.9,14.0,155.0,835.0,1.88,119998.0,8900
4389,Mitsubishi,Benzin,Manuel,Carisma,268000,2003,103,5,5,13.5,12.4,190.0,1.18,3.74,210000.0,6000
2578,Mini,Benzin,Manuel,Cooper,217000,2003,115,3,5,14.9,9.2,200.0,1.025,3.14,282001.0,39800
14409,Peugeot,Benzin,Manuel,307,295000,2003,138,5,5,12.0,9.8,200.0,1.33,4.96,274991.0,9900
